canonical_name,market_prices,min_price,max_price,price_diff,price_diff_percent,cheapest_market,most_expensive_market,num_markets
arac bood cop ici kutusu,"migros: 119.95, mopas: 218.45, carrefour: 10.05",10.05,218.45,208.4,2073.6316680908203,carrefour,mopas,3
sabunluk sv,"migros: 99.95, sokmarket: 229, carrefour: 13.1",13.1,229.0,215.9,1648.0915069580078,carrefour,sokmarket,3
144 caramel centres g twix,"migros: 12.9, sokmarket: 9.95, carrefour: 123.68",9.95,123.68,113.73,1143.0150985717773,sokmarket,carrefour,3
kar spreyi,"carrefour: 89.99, migros: 999.95",89.99,999.95,909.96,1011.1790657043457,carrefour,migros,2
100lu ahsap karstrc,"marketpaketi: 9.99, migros: 102.95, sokmarket: 16.95",9.99,102.95,92.96,930.5305480957031,marketpaketi,migros,3
995100 airfryer hd izgara philips seti,"migros: 8049, carrefour: 799",799.0,8049.0,7250.0,907.384204864502,carrefour,migros,2
100 blue castello cheese danish g,"migros: 209.9, carrefour: 1675",209.9,1675.0,1465.1,697.9990482330322,migros,carrefour,2
50 kolonya ml rebul,"sokmarket: 21.9, carrefour: 156.9",21.9,156.9,135.0,616.4383888244629,sokmarket,carrefour,2
380 crunchy gr lotus spread,"marketpaketi: 625, carrefour: 87.68",87.68,625.0,537.32,612.8193378448486,carrefour,marketpaketi,2
flip rulosu toplama tuy,"carrefour: 79.9, migros: 567.95",79.9,567.95,488.05002,610.8260631561279,carrefour,migros,2
36 dondurma gr koska kulah,"sokmarket: 16.5, migros: 75, mopas: 28.7, carrefour: 54.9",16.5,75.0,58.5,354.5454502105713,sokmarket,migros,4
dikkat yapabilir zengin,"sokmarket: 39.95, migros: 180",39.95,180.0,140.05,350.5632162094116,sokmarket,migros,2
kap kulp stoperi,"sokmarket: 9.95, marketpaketi: 40, migros: 39.95",9.95,40.0,30.05,302.01005935668945,sokmarket,marketpaketi,3
falsies maskara maybelline new surreal york,"sokmarket: 229, migros: 200, carrefour: 779.9",200.0,779.9,579.9,289.95001316070557,migros,carrefour,3
360 aly g ucgen yufka,"carrefour: 77.5, migros: 62.45, mopas: 137.95, sokmarket: 37",37.0,137.95,100.95,272.83782958984375,sokmarket,mopas,4
pocket sound xiaomi,"carrefour: 349, migros: 1299.95",349.0,1299.95,950.94995,272.4784851074219,carrefour,migros,2
2032 2li energizer pil,"carrefour: 59.95, mopas: 90.8, sokmarket: 24.5",24.5,90.8,66.3,270.6122636795044,sokmarket,mopas,3
ball ca games jump,"carrefour: 469.99, migros: 129.95",129.95,469.99,340.03998,261.66985034942627,migros,carrefour,2
701270 dst philips utu,"migros: 2199.95, carrefour: 629.45",629.45,2199.95,1570.5,249.50354099273682,carrefour,migros,2
gri kisilik nondress ortusu tek yatak,"migros: 1199.95, carrefour: 349.99",349.99,1199.95,849.95996,242.85264015197754,carrefour,migros,2
arkalkl minderi sandalye,"migros: 189.95, sokmarket: 59.95",59.95,189.95,130.0,216.8473720550537,sokmarket,migros,2
3lu beyaz flash golyat,"carrefour: 35.05, sokmarket: 99.95, migros: 69.95",35.05,99.95,64.899994,185.16403436660767,carrefour,sokmarket,3
120 430 cook kaka torba torbas,"marketpaketi: 41.88, carrefour: 41.5, sokmarket: 14.95",14.95,41.88,26.93,180.13378381729126,sokmarket,marketpaketi,3
00 concealer iar ivory maybelline new york,"migros: 337, carrefour: 899.9",337.0,899.9,562.9,167.03264713287354,migros,carrefour,2
